id_produto,nome,tamanho,preco_varejo,preco_atacado,last_sync,dif_invertida
43515539,BIQUÍNI BELEZA,G,39.38,90.0,2026-03-08T22:00:58.860752+00:00,50.62
43515539,BIQUÍNI BELEZA,GG,39.38,90.0,2026-03-08T22:00:58.860752+00:00,50.62
43515539,BIQUÍNI BELEZA,P,39.38,90.0,2026-03-08T22:00:58.860752+00:00,50.62
43515539,BIQUÍNI BELEZA,M,39.38,90.0,2026-03-08T22:00:58.860752+00:00,50.62
40483859,BIQUINI BELA,P,34.13,77.0,2026-03-08T22:00:58.860752+00:00,42.87
51115635,LEGGING TRIFIL ESPORTIVA,M,55.91,93.5,2026-03-08T22:00:40.21887+00:00,37.59
40215372,MAIO BOJO TRADICINAL,G,47.25,77.0,2026-03-08T22:01:15.929386+00:00,29.75
53941035,LEGGING POLI ELLYS,M,34.65,63.75,2026-01-24T15:14:16.359747+00:00,29.1
53941035,LEGGING POLI ELLYS,G,34.65,63.75,2026-01-24T15:14:16.438802+00:00,29.1
53941035,LEGGING POLI ELLYS,GG,34.65,63.75,2026-01-24T15:14:16.518352+00:00,29.1
8060703,MACAQUINHO SEM BOJO,G,21.32,49.0,2026-03-08T22:02:08.380088+00:00,27.68
40218332,BIQUINI ASTRA,M,40.22,66.5,2026-03-08T22:01:15.929386+00:00,26.28
40216629,SAIA DE PRAIA TULE,UNICO,26.25,52.5,2026-03-08T22:01:15.929386+00:00,26.25
40448730,MAIO TRANÇADO,M,47.25,70.0,2026-03-08T22:01:15.929386+00:00,22.75
19843623,CONJUNTO SHORT DONA FIT POLIAMIDA,UNICO,47.25,70.0,2026-03-08T22:01:50.954448+00:00,22.75
19843664,CONJUNTO LEG FITNESS POLIESTER,G,57.75,80.0,2026-03-08T22:01:50.954448+00:00,22.25
25570415,CALÇA LEGGING IVETE,M,21.0,42.0,2026-03-08T22:01:33.471974+00:00,21.0
25570415,CALÇA LEGGING IVETE,G,21.0,42.0,2026-03-08T22:01:33.471974+00:00,21.0
25570415,CALÇA LEGGING IVETE,GG,21.0,42.0,2026-03-08T22:01:33.471974+00:00,21.0
